Epoch [1/20], Train Loss: 0.0448, Val Loss: 0.0332
Epoch [2/20], Train Loss: 0.0320, Val Loss: 0.0308
Epoch [3/20], Train Loss: 0.0307, Val Loss: 0.0295
Epoch [4/20], Train Loss: 0.0295, Val Loss: 0.0287
Epoch [5/20], Train Loss: 0.0285, Val Loss: 0.0278
Epoch [6/20], Train Loss: 0.0281, Val Loss: 0.0278
Epoch [7/20], Train Loss: 0.0278, Val Loss: 0.0273
Epoch [8/20], Train Loss: 0.0276, Val Loss: 0.0272
Epoch [9/20], Train Loss: 0.0274, Val Loss: 0.0271
Epoch [10/20], Train Loss: 0.0273, Val Loss: 0.0269
Epoch [11/20], Train Loss: 0.0272, Val Loss: 0.0269
Epoch [12/20], Train Loss: 0.0271, Val Loss: 0.0266
Epoch [13/20], Train Loss: 0.0271, Val Loss: 0.0268
Epoch [14/20], Train Loss: 0.0270, Val Loss: 0.0266
Epoch [15/20], Train Loss: 0.0269, Val Loss: 0.0264
Epoch [16/20], Train Loss: 0.0269, Val Loss: 0.0265
Epoch [17/20], Train Loss: 0.0268, Val Loss: 0.0264
Epoch [18/20], Train Loss: 0.0268, Val Loss: 0.0264
Epoch [19/20], Train Loss: 0.0268, Val Loss: 0.0262
Epoch [20/20], Train Loss: 0.0267, Val Loss: 0.0262
